Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAU,Almaden Minerals Ltd. Common Shares,$0.318,-0.0009,-0.282%,43636408.00,Canada,2015,196663,,
ACU,Acme United Corporation. Common Stock,$31.47,-1.65,-4.982%,112023350.00,United States,1988,5792,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$35.00,0.01,0.029%,154588385.00,United States,,36527,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.80,0.0191,0.195%,140875000.00,United States,2021,401,,
AE,Adams Resources & Energy Inc. Common Stock,$28.14,-0.41,-1.436%,122549728.00,United States,,1218,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.11,0.08,0.996%,411596920.00,United States,,12661,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.6026,0.0056,0.938%,22862147.00,,2018,23530,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$1.38,0.05,3.759%,54772217.00,United States,,135684,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$17.13,1.22,7.668%,51778337.00,United States,2014,9729,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$1.02,0.0321,3.249%,32770566.00,United States,,84860,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$1.05,-0.02,-1.869%,24402354.00,China,,8360,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.055,0.005,0.476%,213246819.00,United States,,308574,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.6047,-0.0253,-0.962%,15284380.00,United States,,4216,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.29,0.01,0.189%,69999348.00,Canada,,90306,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.72,-0.18,-3.673%,127847331.00,United States,,3445,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.8583,0.005,0.586%,87755348.00,Canada,,164405,,
ASXC,Asensus Surgical Inc. Common Stock,$1.385,-0.005,-0.36%,324629775.00,United States,,2117220,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.22,0.17,2.411%,159062650.00,United States,,30005,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.3846,0.0146,3.946%,62614654.00,United States,,249703,Basic Industries,Metal Mining
AWX,Avalon Holdings Corporation Common Stock,$3.6945,0.0945,2.625%,14406448.00,United States,,1108,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$1.7888,-0.0012,-0.067%,269944808.00,Canada,,148195,,
BATL,Battalion Oil Corporation Common Stock,$10.59,0.39,3.824%,172340739.00,,,2159,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$26.395,0.235,0.898%,145641961.00,United States,,12127,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.585,-0.015,-0.059%,,United States,,400,,
BDL,Flanigan's Enterprises Inc. Common Stock,$32.95,0.05,0.152%,61242419.00,United States,,216,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$0.895,0.025,2.874%,11096000.00,United States,,30358,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$5.11,-0.08,-1.541%,93660899.00,Canada,,148059,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$28.9496,-0.3904,-1.331%,433861460.00,United States,,2738,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$2.00,0.03,1.523%,33628672.00,United States,,31412,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$10.75,-0.53,-4.699%,131218564.00,,2018,118645,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$18.08,-0.03,-0.166%,339450771.00,,,5722,Finance,Commercial Banks
