company,counts
SPY,167
TSLA,166
NIO,151
AMD,133
AAPL,114
DKNG,75
PLTR,74
ETF,73
PT,61
ACB,60
ZM,59
BABA,55
FB,54
BTC,51
BA,50
VIX,50
WKHS,48
SQ,48
LOL,47
BYND,47
NVDA,45
IDEX,44
SPAC,42
KEKW,40
AMZN,40
PFE,39
TO,38
MSFT,38
NKLA,36
GNUS,34
FSLY,34
SHLL,33
PTON,33
RSI,31
ROKU,31
PINS,31
CRSR,31
NQ,31
PLUG,30
WWR,30
SPAQ,30
HYLN,29
SNDL,29
JD,29
SNAP,29
RKT,28
ES,27
JKS,25
COVI,25
NNDM,25
MACD,25
GME,24
SE,23
IT,23
MA,23
SQQQ,22
KO,22
WSB,22
XD,22
FOMO,22
MARA,21
HEAR,21
CRM,21
CGC,20
IZEA,20
CBAT,20
SL,20
VWAP,20
VXX,19
APPL,19
INTC,19
SPCE,19
AAL,18
SPI,18
ON,18
AREC,18
NFLX,18
QQQ,18
UONE,18
BLNK,18
HD,18
ING,18
FDA,17
DIS,17
MO,17
OOOO,17
THE,17
TLRY,16
ADTX,16
YOU,16
LMNL,15
JMIA,15
USD,15
EXAS,15
IV,15
SOLO,15
XERS,15
DPW,14
GILD,14
GRAF,14
TE,14
APPS,14
LCA,14
PSTH,14
ARKK,13
ATVI,13
ED,13
MGNI,13
EMA,13
AESE,13
WMT,13
CEO,13
GM,13
FSR,13
BNGO,13
TGT,13
GE,13
NAK,13
ET,13
AND,13
SRNE,13
REIT,12
GUSH,12
LULU,12
GEVO,12
SBE,12
IMO,12
GRIL,12
SHOP,12
WORK,12
INO,12
LMAO,12
PR,12
SPX,12
TTD,11
ZNGA,11
CCL,11
WS,11
IN,11
DOCU,11
ELON,11
VVPR,11
UPS,11
KODK,11
OTC,11
CIIC,11
VA,11
BIGC,10
EOY,10
NG,10
OSTK,10
SUNW,10
XOM,10
IS,10
EOD,10
JPM,10
XPEV,10
IPOB,10
AT,10
NEE,10
AQ,10
QCOM,10
PIC,10
JE,10
HTZ,10
DPHC,10
TDOC,10
MARK,10
SO,9
SD,9
CH,9
DGLY,9
FL,9
BP,9
LETS,9
SBUX,9
WL,9
GLD,9
YVR,9
BAC,9
UVXY,9
TEVA,9
NTR,9
RIOT,9
KS,9
FUCK,9
IRA,9
VERY,9
PYPL,9
HEXO,9
BIG,9
NASD,9
NET,8
THIS,8
PA,8
VOO,8
MRNA,8
DM,8
GOOO,8
GBTC,8
CHGG,8
JEPI,8
TSM,8
PE,8
ETSY,8
VC,8
IQ,8
FYI,8
TNXP,8
GRNQ,8
PUT,8
ORCL,8
IBIO,8
INAQ,8
DO,8
AHT,8
TDA,8
MJ,8
ENPH,8
LLY,8
NTN,8
PENN,8
USA,8
LK,8
FEAC,7
KXIN,7
IF,7
THAT,7
RIP,7
PH,7
SMA,7
NOW,7
LYL,7
SP,7
REAL,7
LY,7
UK,7
UP,7
GREE,7
DECN,7
LUV,7
APXT,7
HR,7
UCIT,7
NIU,7
JWN,7
LGVW,7
FCEL,7
STOC,7
GO,7
RXT,7
BRO,7
THAN,7
YOLO,7
TWLO,7
REGN,7
TAP,7
ALL,7
TOL,7
ETH,7
ONCT,6
MONE,6
NYC,6
EU,6
WWE,6
PES,6
IGC,6
OF,6
SNOW,6
NAKD,6
KIRK,6
SPOT,6
BTO,6
ADBE,6
JP,6
FUBO,6
TTM,6
ZNH,6
MM,6
BKYI,6
UCO,6
TC,6
FEYE,6
VLDR,6
NICE,6
BB,6
ST,6
